2025-11-30 19:33:58,414 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,415 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,415 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,415 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,415 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,415 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,415 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,415 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,415 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,416 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,416 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,416 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,416 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,416 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,416 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,416 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,416 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,416 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,417 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,417 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,417 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:33:58,417 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
